date,ndvi_sg,T2M,PPT,RAD,RH
2010-02-01,0.151079581462438,20.23,0.51,14.28,41.03
2010-02-06,0.145312414900678,21.67,0,18.69,27.12
2010-02-11,0.140268169810994,23.3,1.96,16.97,48.39
2010-02-16,0.135946846193384,22.01,1.03,19.75,28.55
2010-02-21,0.132348444047848,23.17,0.52,20.6,29.75
2010-02-26,0.129398167985531,23.63,0,23.26,24.38
2010-03-03,0.127526286805959,26.2,0,22.82,24.33
2010-03-08,0.126377100295741,26.68,0.12,23.2,25.74
2010-03-13,0.124251942255889,27.38,1.8299999999999998,21.95,23.67
2010-03-18,0.121991263050159,28.87,0,23.72,18.34
2010-03-23,0.121183884584613,30.14,0,25.54,14.83
2010-03-28,0.118828318230896,30.67,0,24.13,17.09
2010-04-02,0.11528702042818,30.05,0,27.18,17.74
2010-04-07,0.11419355876344,32.01,0,25.93,11.29
2010-04-12,0.114941478250443,32.15,0,27.21,14.34
2010-04-17,0.11617980770962,34.19,0,27.43,13.49
2010-04-22,0.117602217788548,32.71,0,28.13,14.3
2010-04-27,0.119123183975445,33.85,7.35,24,17.21
2010-05-02,0.119128407588119,31.46,3.23,21.1,31.87
2010-05-07,0.118039769720261,33.52,4.34,25.91,27.98
2010-05-12,0.117762873964381,35.15,0,27.72,15.9
2010-05-17,0.118052844280379,35.98,0.29000000000000004,23.89,19.06
2010-05-22,0.11765283620313,34.52,0.01,24.97,35.98
2010-05-27,0.117505970471351,36.17,3.33,25.82,25.58
2010-06-01,0.119307257003732,35.85,1.62,22.23,28.04
2010-06-06,0.122031529757312,34.51,0.17,27.21,28.52
2010-06-11,0.125866378706316,34.53,6.53,23.26,37.51
2010-06-16,0.135118076228809,29.04,19.82,19.21,68.12
2010-06-21,0.148256117352603,29.38,44.45,23.34,66.88
2010-06-26,0.161867701513611,29.86,23.04,20.33,66.96
2010-07-01,0.176321464275792,27,35.64,14.23,77.39
2010-07-06,0.191689920798612,26.76,35.64,15.6,82.75
2010-07-11,0.207738382864742,25.7,98.47,11.87,85.98
2010-07-16,0.224240507829584,27.25,10.44,19.27,82.48
2010-07-21,0.240969953048544,26.19,103.62,15.03,86.71
2010-07-26,0.257700375877025,26.19,72.31,15.15,83.62
2010-07-31,0.274205433670431,26.1,5.53,10.75,84.99
2010-08-05,0.290258783784166,25.81,15.93,12.38,87.15
2010-08-10,0.305634083573635,25.94,106.2,15.29,89.28
2010-08-15,0.32010499039424,26.12,30.11,16.24,88.49
2010-08-20,0.333445161601387,25.75,44.97,17.43,89.45
2010-08-25,0.345428254550478,25.78,37.589999999999996,16.82,88.03
2010-08-30,0.355827926596918,26.24,15.84,17.03,90
2010-09-04,0.364494203538182,25.88,84.45,14.61,90
2010-09-09,0.371384796356799,24.74,54.35,19.33,89.56
2010-09-14,0.375828629579976,24.04,129.2,13.44,90.99
2010-09-19,0.376878986754657,24.2,4.13,21.4,80.23
2010-09-24,0.373700683743269,23.2,0.63,22.69,78.46
2010-09-29,0.365869079933654,24.43,0.7899999999999999,18.29,84.34
2010-10-04,0.353592500625609,23.9,2.46,18.51,83.66
2010-10-09,0.338208519567429,22.46,2.36,21.07,81.73
2010-10-14,0.321414512176542,23.53,34.72,12.96,89.39
2010-10-19,0.304548507712713,22.6,14.219999999999999,17.68,76.33
2010-10-24,0.287918640130774,20.08,0,19.67,70.77
2010-10-29,0.271334011945141,19.13,0.48,5.96,87.06
2010-11-03,0.254402728649592,21.24,0.34,17.99,85.92
2010-11-08,0.236835776496791,21.71,0.31,15.73,85.21
2010-11-13,0.218795622244215,22.06,10.879999999999999,12.52,81.08
2010-11-18,0.201253161755933,21.74,3.17,15.91,79.1
2010-11-23,0.184721500079555,18.71,0,17.16,58.88
2010-11-28,0.170539471675786,21.57,0.5900000000000001,14.51,75.79
2010-12-03,0.163087426126229,19.14,0,14.08,65.94
2010-12-08,0.158892205942939,19.06,27.19,6.92,83.79
2010-12-13,0.155880777568782,15.37,0.02,14.57,61.83
2010-12-18,0.153911484552762,14.59,0,17.15,51.68
2010-12-23,0.152307554354035,16.21,0,17.21,48.09
2010-12-28,0.148840370866507,16.39,0,15.92,50.81
2011-01-02,0.141515704715758,12.98,0,17.1,46.52
2011-01-07,0.13238215151622101,13.67,0,17.44,39.36
2011-01-12,0.126390162110969,18.54,0,18.03,37.72
2011-01-17,0.120670420258759,15.82,0,18.52,30.26
2011-01-22,0.116004092319903,19.77,0,18.37,33.83
2011-01-27,0.113736396825989,20.63,0.1,16.67,50.95
2011-02-01,0.113553535437129,19.42,0,19.35,27.01
2011-02-06,0.11327488181212,21.68,0,19.97,31.16
2011-02-11,0.111177653962541,23.18,0,19.84,30.64
2011-02-16,0.107927050956482,20.66,3.42,16.42,39.48
2011-02-21,0.105399278951452,21.23,8.370000000000001,20.45,39.69
2011-02-26,0.103909894746645,21.03,0.04,21.29,40.41
2011-03-03,0.10336200760742,26.41,4.82,18.93,34.09
2011-03-08,0.103225993948865,25.68,0.01,23.05,26.74
2011-03-13,0.103078507984784,24.35,0,25.16,17.32
2011-03-18,0.102517776430398,27.3,0,25.08,14.79
2011-03-23,0.101500376057992,27.62,0.37,23.26,16.38
2011-03-28,0.100612360078557,27.89,0,25.95,13.71
2011-04-02,0.100689725879434,27.85,0.64,24.29,16.97
2011-04-07,0.101809963489495,27.88,10.7,23.23,41.48
2011-04-12,0.10390121025714,30.31,6.88,22.29,35.67
2011-04-17,0.106752678179045,30.29,23.779999999999998,22.76,45.83
2011-04-22,0.110112430901558,27.47,5.75,23.21,51.66
2011-04-27,0.113816902200955,29.16,2.85,25.13,46.68
2011-05-02,0.117789374724783,32.53,1.86,26.64,25.71
2011-05-07,0.121959979645908,33.65,4.14,24.5,28.43
2011-05-12,0.126227116526438,34.55,0.85,23.92,19.31
2011-05-17,0.130462205038798,35.54,1.67,25.41,25.21
2011-05-22,0.134570212644367,32.86,42.199999999999996,24.76,46.39
2011-05-27,0.138482343258955,32.93,3.8200000000000003,24.89,43.65
2011-06-01,0.142267108026173,33.23,2.94,22.22,39.87
2011-06-06,0.145924506946022,31.7,17.22,23.23,51.94
2011-06-11,0.149454540018501,31.35,10.56,22.17,53.92
