date,ndvi_sg,T2M,PPT,RAD,RH
2010-02-01,0.250313905000029,20.23,0.51,14.28,41.03
2010-02-06,0.24826822824356,21.67,0,18.69,27.12
2010-02-11,0.244963128646164,23.3,1.96,16.97,48.39
2010-02-16,0.240398606207839,22.01,1.03,19.75,28.55
2010-02-21,0.234574660928587,23.17,0.52,20.6,29.75
2010-02-26,0.227920208813278,23.63,0,23.26,24.38
2010-03-03,0.219777282273881,26.2,0,22.82,24.33
2010-03-08,0.210128014469393,26.68,0.12,23.2,25.74
2010-03-13,0.195898120503669,27.38,1.8299999999999998,21.95,23.67
2010-03-18,0.180777697567249,28.87,0,23.72,18.34
2010-03-23,0.17012523216466,30.14,0,25.54,14.83
2010-03-28,0.16048979613612,30.67,0,24.13,17.09
2010-04-02,0.152484603721839,30.05,0,27.18,17.74
2010-04-07,0.150886533997299,32.01,0,25.93,11.29
2010-04-12,0.15328593758502,32.15,0,27.21,14.34
2010-04-17,0.156090416655424,34.19,0,27.43,13.49
2010-04-22,0.15741192881402,32.71,0,28.13,14.3
2010-04-27,0.159277184295694,33.85,7.35,24,17.21
2010-05-02,0.161177052918016,31.46,3.23,21.1,31.87
2010-05-07,0.160809570003842,33.52,4.34,25.91,27.98
2010-05-12,0.160379216572165,35.15,0,27.72,15.9
2010-05-17,0.161003368617717,35.98,0.29000000000000004,23.89,19.06
2010-05-22,0.159823452915745,34.52,0.01,24.97,35.98
2010-05-27,0.157891804386761,36.17,3.33,25.82,25.58
2010-06-01,0.158774346307203,35.85,1.62,22.23,28.04
2010-06-06,0.162115030395695,34.51,0.17,27.21,28.52
2010-06-11,0.168445792693618,34.53,6.53,23.26,37.51
2010-06-16,0.181763455034781,29.04,19.82,19.21,68.12
2010-06-21,0.200591936165305,29.38,44.45,23.34,66.88
2010-06-26,0.221384167867254,29.86,23.04,20.33,66.96
2010-07-01,0.243377759619387,27,35.64,14.23,77.39
2010-07-06,0.265745374716705,26.76,35.64,15.6,82.75
2010-07-11,0.287537808621735,25.7,98.47,11.87,85.98
2010-07-16,0.307767727991212,27.25,10.44,19.27,82.48
2010-07-21,0.325091458548529,26.19,103.62,15.03,86.71
2010-07-26,0.33854910423813,26.19,72.31,15.15,83.62
2010-07-31,0.347963088640751,26.1,5.53,10.75,84.99
2010-08-05,0.353787158635465,25.81,15.93,12.38,87.15
2010-08-10,0.356911826281821,25.94,106.2,15.29,89.28
2010-08-15,0.358426248922117,26.12,30.11,16.24,88.49
2010-08-20,0.35933654750377,25.75,44.97,17.43,89.45
2010-08-25,0.360240563121809,25.78,37.589999999999996,16.82,88.03
2010-08-30,0.360992591998124,26.24,15.84,17.03,90
2010-09-04,0.361485857579862,25.88,84.45,14.61,90
2010-09-09,0.361821756039096,24.74,54.35,19.33,89.56
2010-09-14,0.36190681363394,24.04,129.2,13.44,90.99
2010-09-19,0.361525676097514,24.2,4.13,21.4,80.23
2010-09-24,0.3604365477095,23.2,0.63,22.69,78.46
2010-09-29,0.358452173544834,24.43,0.7899999999999999,18.29,84.34
2010-10-04,0.355509263261477,23.9,2.46,18.51,83.66
2010-10-09,0.351810479387862,22.46,2.36,21.07,81.73
2010-10-14,0.347656861184668,23.53,34.72,12.96,89.39
2010-10-19,0.343306346850037,22.6,14.219999999999999,17.68,76.33
2010-10-24,0.338777822764081,20.08,0,19.67,70.77
2010-10-29,0.33400192681303,19.13,0.48,5.96,87.06
2010-11-03,0.328900342990184,21.24,0.34,17.99,85.92
2010-11-08,0.32345732664119897,21.71,0.31,15.73,85.21
2010-11-13,0.317795203332742,22.06,10.879999999999999,12.52,81.08
2010-11-18,0.312244732207004,21.74,3.17,15.91,79.1
2010-11-23,0.307130975501883,18.71,0,17.16,58.88
2010-11-28,0.3029161679929,21.57,0.5900000000000001,14.51,75.79
2010-12-03,0.301152920479945,19.14,0,14.08,65.94
2010-12-08,0.298502289337805,19.06,27.19,6.92,83.79
2010-12-13,0.292802467035515,15.37,0.02,14.57,61.83
2010-12-18,0.28848199516783,14.59,0,17.15,51.68
2010-12-23,0.285301698308661,16.21,0,17.21,48.09
2010-12-28,0.280680649092319,16.39,0,15.92,50.81
2011-01-02,0.272307718186883,12.98,0,17.1,46.52
2011-01-07,0.260306402049744,13.67,0,17.44,39.36
2011-01-12,0.24557064766739,18.54,0,18.03,37.72
2011-01-17,0.229993892895083,15.82,0,18.52,30.26
2011-01-22,0.217373109197786,19.77,0,18.37,33.83
2011-01-27,0.20973510627542,20.63,0.1,16.67,50.95
2011-02-01,0.205568660076382,19.42,0,19.35,27.01
2011-02-06,0.202481623231723,21.68,0,19.97,31.16
2011-02-11,0.198418891947624,23.18,0,19.84,30.64
2011-02-16,0.193034099459252,20.66,3.42,16.42,39.48
2011-02-21,0.18744835153637,21.23,8.370000000000001,20.45,39.69
2011-02-26,0.185313852057249,21.03,0.04,21.29,40.41
2011-03-03,0.185354466060715,26.41,4.82,18.93,34.09
2011-03-08,0.182002848870185,25.68,0.01,23.05,26.74
2011-03-13,0.175106006440361,24.35,0,25.16,17.32
2011-03-18,0.165199824033648,27.3,0,25.08,14.79
2011-03-23,0.154569735247625,27.62,0.37,23.26,16.38
2011-03-28,0.146566442731207,27.89,0,25.95,13.71
2011-04-02,0.143907893858926,27.85,0.64,24.29,16.97
2011-04-07,0.146272347606033,27.88,10.7,23.23,41.48
2011-04-12,0.152112808120829,30.31,6.88,22.29,35.67
2011-04-17,0.159253199917964,30.29,23.779999999999998,22.76,45.83
2011-04-22,0.165613240463319,27.47,5.75,23.21,51.66
2011-04-27,0.17006317677453,29.16,2.85,25.13,46.68
2011-05-02,0.173075345581475,32.53,1.86,26.64,25.71
2011-05-07,0.175787118729204,33.65,4.14,24.5,28.43
2011-05-12,0.178941389602518,34.55,0.85,23.92,19.31
2011-05-17,0.183086805697464,35.54,1.67,25.41,25.21
2011-05-22,0.189124484586579,32.86,42.199999999999996,24.76,46.39
2011-05-27,0.197724571426388,32.93,3.8200000000000003,24.89,43.65
2011-06-01,0.208273764343086,33.23,2.94,22.22,39.87
2011-06-06,0.220772063336671,31.7,17.22,23.23,51.94
2011-06-11,0.235219468407145,31.35,10.56,22.17,53.92
