date,ndvi_sg,T2M,PPT,RAD,RH
2010-02-01,0.188334109750518,20.97,0.55,14.4,38.19
2010-02-06,0.177646395230125,22.4,0,19.18,26.13
2010-02-11,0.167610015683697,25.18,1.81,16.52,43.53
2010-02-16,0.158224971111233,23.61,0.9099999999999999,19.5,25.85
2010-02-21,0.149491261512732,24.59,1.2,21.38,26.61
2010-02-26,0.141469833210138,25.37,0,23.28,21.43
2010-03-03,0.134565954522478,28.97,0,22.7,21.15
2010-03-08,0.128220523010628,28.55,0.12,22.8,22.49
2010-03-13,0.118985438036224,29.09,0.81,20.99,22.37
2010-03-18,0.108367646313055,29.92,0,22.78,16.69
2010-03-23,0.0995045200556709,32.11,0,25.67,13.65
2010-03-28,0.0905255547142998,32.97,0.04,24,15.53
2010-04-02,0.0825612368866518,32.27,0,26.76,15.12
2010-04-07,0.0795052800172822,33.69,0,26.66,9.92
2010-04-12,0.0806164994476696,34.82,0,26.67,12.52
2010-04-17,0.0836257784346986,35.9,0,27.67,15.56
2010-04-22,0.0864237004675468,34.83,0.01,28.16,13.95
2010-04-27,0.0899272268791471,34.28,11.45,24.3,19.95
2010-05-02,0.0933452731462546,32.75,4.0600000000000005,20.79,33.86
2010-05-07,0.0945447325392198,34.39,7.22,24.48,33.58
2010-05-12,0.0941357135006556,36.87,0,27.52,15.94
2010-05-17,0.0916910612812627,37.42,0.19,23.08,22.24
2010-05-22,0.0880022677242589,34.78,0.16999999999999998,24.01,41.39
2010-05-27,0.0856400250747086,37.98,5.75,24.56,23.35
2010-06-01,0.087148857496889,37.78,1.38,22.23,23.67
2010-06-06,0.0918708484646617,36.74,0.21,26.95,26.73
2010-06-11,0.0991066259277544,34.26,8.96,21.91,42.33
2010-06-16,0.109801529838634,29.96,36.62,15.32,68.45
2010-06-21,0.121156026060103,31.07,31.5,22.07,61.78
2010-06-26,0.129700996181235,30.68,24.98,19.15,63.74
2010-07-01,0.137480421569103,28.15,37.42,16.39,75.48
2010-07-06,0.145364327275738,27.52,23.62,17.09,79.14
2010-07-11,0.153483087158933,27.35,70.5,11.01,81.73
2010-07-16,0.162127711472302,28.48,6.11,19.58,79.12
2010-07-21,0.171463668470328,27.22,142.52,16.43,84.61
2010-07-26,0.181926434029473,26.79,57.279999999999994,16.96,82.81
2010-07-31,0.194182689433479,27.23,5.97,11.49,83.65
2010-08-05,0.208856822653135,26.62,16.08,12.8,86.07
2010-08-10,0.226322202365475,26.75,34.51,17.34,89.21
2010-08-15,0.246557224712391,26.97,40.22,16.57,86.84
2010-08-20,0.269066132798669,26.84,38.73,16.02,87.02
2010-08-25,0.292864608929449,26.61,31.63,17.25,86.38
2010-08-30,0.316546006414379,26.6,4.3,16,89.12
2010-09-04,0.338833615029133,26.25,53.32,16.26,89.21
2010-09-09,0.358469071221296,26.2,44.19,17.78,85.65
2010-09-14,0.373975943175705,24.9,140.86,11.69,88.87
2010-09-19,0.384083954103969,25.63,1.82,21.47,76.92
2010-09-24,0.388066474898181,24.58,1.44,22.32,75.65
2010-09-29,0.385940947891322,25.46,0.55,17.63,85.21
2010-10-04,0.378542088867686,24.89,6.2,18.52,83.76
2010-10-09,0.367781976055645,23.66,5.37,21.28,79.4
2010-10-14,0.355772018695831,24.63,18.81,13.31,88.92
2010-10-19,0.343969939388214,23.83,23.759999999999998,17.44,77.53
2010-10-24,0.332917793566715,21.15,0,19.96,71.32
2010-10-29,0.32258070218978,19.73,1.05,4.78,88.92
2010-11-03,0.312571783926348,21.76,1,15.66,86.04
2010-11-08,0.302430726056848,22.28,0.18,14.76,82.76
2010-11-13,0.291972010807513,22.95,17.23,12.93,77.18
2010-11-18,0.281671848953314,22.63,1.1,15.34,77.99
2010-11-23,0.27176860495467,19.83,0,17.42,56.94
2010-11-28,0.263098281896612,23.22,0.06999999999999999,14.65,71.06
2010-12-03,0.258394765943416,20.48,0,14.14,61.59
2010-12-08,0.253974490064149,19.53,44.580000000000005,5.68,84.27
2010-12-13,0.247408535732327,17.6,0.11,14.13,59.83
2010-12-18,0.241520412078665,15.85,0,17.2,47.91
2010-12-23,0.236669094050399,17.43,0,17.25,48.94
2010-12-28,0.232580993891192,17.1,0,15.98,52.42
2011-01-02,0.229047706648888,15.2,0,17.3,45.96
2011-01-07,0.225374194817814,14.9,0,17.61,44.15
2011-01-12,0.218292684505806,19,0,18.05,41.2
2011-01-17,0.208281408894818,16.95,0,18.55,34.05
2011-01-22,0.198558839981857,19.82,0,18.35,41.8
2011-01-27,0.189738723660122,21.14,0.16,16.08,55.78
2011-02-01,0.181394221795191,20.63,0,19.12,32.66
2011-02-06,0.173982480717299,22.48,0,20,31.44
2011-02-11,0.167667409493496,24.17,0,19.8,33.52
2011-02-16,0.160759686854592,23.12,6.279999999999999,15.19,39.72
2011-02-21,0.151675205825691,21.49,5.130000000000001,20.53,42.23
2011-02-26,0.146363810560055,22.91,0.01,20.98,36.74
2011-03-03,0.144071159145479,27.54,5.53,18.79,34.05
2011-03-08,0.138679152508996,27.79,0,22.37,25.26
2011-03-13,0.128832185763881,26.38,0,25.25,15.69
2011-03-18,0.114803919752277,28.46,0,25.05,14.66
2011-03-23,0.0992622568526403,29.3,0.38,22.75,14.72
2011-03-28,0.0862513445972272,29.69,0,25.89,12.7
2011-04-02,0.0793428427463817,29.95,0.73,24.07,15.95
2011-04-07,0.0791500392084758,29.71,17.71,23.92,40.48
2011-04-12,0.0842201787822013,30.57,12.25,20.88,38.85
2011-04-17,0.0921742667761812,30.63,41.01,21.19,49.07
2011-04-22,0.100618335893262,28.08,14.85,23.27,53.7
2011-04-27,0.108270543039411,29.25,4.74,23.83,50.93
2011-05-02,0.115352648550801,33.29,2.15,24.66,31.84
2011-05-07,0.122547267004848,34.47,4.97,23.73,34
2011-05-12,0.130103284041318,35.37,0.96,23.5,23.67
2011-05-17,0.137907967244356,35.89,1.4100000000000001,23.45,29.13
2011-05-22,0.146103237598235,34.3,31.32,24.66,42.23
2011-05-27,0.154797037628182,34.3,4.92,22.91,37.24
2011-06-01,0.163897669600184,35.16,2.4,21.53,36.71
2011-06-06,0.173405133514241,32.44,34.779999999999994,21.98,51.75
2011-06-11,0.183319429370352,32.39,11.84,21.24,51.83
