date,ndvi_sg,T2M,PPT,RAD,RH
2010-02-01,0.181786563653933,20.23,0.51,14.28,41.03
2010-02-06,0.171608402173952,21.67,0,18.69,27.12
2010-02-11,0.164048309603911,23.3,1.96,16.97,48.39
2010-02-16,0.15910628594381,22.01,1.03,19.75,28.55
2010-02-21,0.156782331193648,23.17,0.52,20.6,29.75
2010-02-26,0.167719604543197,23.63,0,23.26,24.38
2010-03-03,0.172880724433283,26.2,0,22.82,24.33
2010-03-08,0.169194928951256,26.68,0.12,23.2,25.74
2010-03-13,0.15756041478309,27.38,1.8299999999999998,21.95,23.67
2010-03-18,0.144434862796777,28.87,0,23.72,18.34
2010-03-23,0.134877081908665,30.14,0,25.54,14.83
2010-03-28,0.126792580966395,30.67,0,24.13,17.09
2010-04-02,0.120814666005327,30.05,0,27.18,17.74
2010-04-07,0.120261001540216,32.01,0,25.93,11.29
2010-04-12,0.121869204794115,32.15,0,27.21,14.34
2010-04-17,0.122682410582547,34.19,0,27.43,13.49
2010-04-22,0.123654650986014,32.71,0,28.13,14.3
2010-04-27,0.126010028391777,33.85,7.35,24,17.21
2010-05-02,0.128346843214404,31.46,3.23,21.1,31.87
2010-05-07,0.129941384272228,33.52,4.34,25.91,27.98
2010-05-12,0.131816510398164,35.15,0,27.72,15.9
2010-05-17,0.132740059297425,35.98,0.29000000000000004,23.89,19.06
2010-05-22,0.130446959999041,34.52,0.01,24.97,35.98
2010-05-27,0.127366037691663,36.17,3.33,25.82,25.58
2010-06-01,0.128896269863874,35.85,1.62,22.23,28.04
2010-06-06,0.133964686990751,34.51,0.17,27.21,28.52
2010-06-11,0.142059908058266,34.53,6.53,23.26,37.51
2010-06-16,0.156270751038311,29.04,19.82,19.21,68.12
2010-06-21,0.174060594533789,29.38,44.45,23.34,66.88
2010-06-26,0.191262337140728,29.86,23.04,20.33,66.96
2010-07-01,0.208685389704405,27,35.64,14.23,77.39
2010-07-06,0.226405588826194,26.76,35.64,15.6,82.75
2010-07-11,0.243978413261756,25.7,98.47,11.87,85.98
2010-07-16,0.261038284100926,27.25,10.44,19.27,82.48
2010-07-21,0.277127790674949,26.19,103.62,15.03,86.71
2010-07-26,0.291887339994827,26.19,72.31,15.15,83.62
2010-07-31,0.305159306205898,26.1,5.53,10.75,84.99
2010-08-05,0.316950890692023,25.81,15.93,12.38,87.15
2010-08-10,0.32738511116692,25.94,106.2,15.29,89.28
2010-08-15,0.336639919752653,26.12,30.11,16.24,88.49
2010-08-20,0.344875450045266,25.75,44.97,17.43,89.45
2010-08-25,0.352149393167565,25.78,37.589999999999996,16.82,88.03
2010-08-30,0.358329113779719,26.24,15.84,17.03,90
2010-09-04,0.363320124918983,25.88,84.45,14.61,90
2010-09-09,0.367116002914726,24.74,54.35,19.33,89.56
2010-09-14,0.369417808314253,24.04,129.2,13.44,90.99
2010-09-19,0.369806850080701,24.2,4.13,21.4,80.23
2010-09-24,0.367930511242624,23.2,0.63,22.69,78.46
2010-09-29,0.363644068701659,24.43,0.7899999999999999,18.29,84.34
2010-10-04,0.357114044165227,23.9,2.46,18.51,83.66
2010-10-09,0.349053184753504,22.46,2.36,21.07,81.73
2010-10-14,0.340348192451451,23.53,34.72,12.96,89.39
2010-10-19,0.331698117016259,22.6,14.219999999999999,17.68,76.33
2010-10-24,0.323292096670097,20.08,0,19.67,70.77
2010-10-29,0.31505507537431,19.13,0.48,5.96,87.06
2010-11-03,0.306788177014094,21.24,0.34,17.99,85.92
2010-11-08,0.298317147637773,21.71,0.31,15.73,85.21
2010-11-13,0.289667023525909,22.06,10.879999999999999,12.52,81.08
2010-11-18,0.281245623194049,21.74,3.17,15.91,79.1
2010-11-23,0.273201566480518,18.71,0,17.16,58.88
2010-11-28,0.266342779314704,21.57,0.5900000000000001,14.51,75.79
2010-12-03,0.263348745645756,19.14,0,14.08,65.94
2010-12-08,0.260423620648285,19.06,27.19,6.92,83.79
2010-12-13,0.255115167370745,15.37,0.02,14.57,61.83
2010-12-18,0.250741989638183,14.59,0,17.15,51.68
2010-12-23,0.247243899934292,16.21,0,17.21,48.09
2010-12-28,0.243194503373807,16.39,0,15.92,50.81
2011-01-02,0.237347394008427,12.98,0,17.1,46.52
2011-01-07,0.229706893226471,13.67,0,17.44,39.36
2011-01-12,0.219421222984048,18.54,0,18.03,37.72
2011-01-17,0.207233454747592,15.82,0,18.52,30.26
2011-01-22,0.196601965941164,19.77,0,18.37,33.83
2011-01-27,0.188820705960349,20.63,0.1,16.67,50.95
2011-02-01,0.182798456961575,19.42,0,19.35,27.01
2011-02-06,0.177825355861084,21.68,0,19.97,31.16
2011-02-11,0.173155319126648,23.18,0,19.84,30.64
2011-02-16,0.16764431969069,20.66,3.42,16.42,39.48
2011-02-21,0.161013407653413,21.23,8.370000000000001,20.45,39.69
2011-02-26,0.157810119070257,21.03,0.04,21.29,40.41
2011-03-03,0.157189027357235,26.41,4.82,18.93,34.09
2011-03-08,0.153660806869065,25.68,0.01,23.05,26.74
2011-03-13,0.146488361918013,24.35,0,25.16,17.32
2011-03-18,0.136219145732171,27.3,0,25.08,14.79
2011-03-23,0.124974214423738,27.62,0.37,23.26,16.38
2011-03-28,0.115819796023973,27.89,0,25.95,13.71
2011-04-02,0.111542569560783,27.85,0.64,24.29,16.97
2011-04-07,0.11205892446639,27.88,10.7,23.23,41.48
2011-04-12,0.1162715205707,30.31,6.88,22.29,35.67
2011-04-17,0.122477361816905,30.29,23.779999999999998,22.76,45.83
2011-04-22,0.128965973347535,27.47,5.75,23.21,51.66
2011-04-27,0.134758114768457,29.16,2.85,25.13,46.68
2011-05-02,0.140022672498824,32.53,1.86,26.64,25.71
2011-05-07,0.145315550034866,33.65,4.14,24.5,28.43
2011-05-12,0.150852741540142,34.55,0.85,23.92,19.31
2011-05-17,0.156558452388929,35.54,1.67,25.41,25.21
2011-05-22,0.162541983349073,32.86,42.199999999999996,24.76,46.39
2011-05-27,0.168885870889032,32.93,3.8200000000000003,24.89,43.65
2011-06-01,0.175518278256063,33.23,2.94,22.22,39.87
2011-06-06,0.182439205450166,31.7,17.22,23.23,51.94
2011-06-11,0.189648652471342,31.35,10.56,22.17,53.92
