"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2010-02-01,0.150401294231415,"Landsat7 (ETM+)",2010,2,1,0.150401294231415,0.151079581462438
2010-02-06,0.145782341364625,"Landsat7 (ETM+)",2010,2,6,0.145782341364625,0.145312414900678
2010-02-11,0.140936433432486,"Landsat7 (ETM+)",2010,2,11,0.140936433432486,0.140268169810994
2010-02-16,0.136241828877246,"Landsat7 (ETM+)",2010,2,16,0.136241828877246,0.135946846193384
2010-02-21,0.132076786141153,"Landsat7 (ETM+)",2010,2,21,0.132076786141153,0.132348444047848
2010-02-26,0.128832439642186,"Landsat7 (ETM+)",2010,2,26,0.128832439642186,0.129398167985531
2010-03-03,0.12702172837453,"Landsat7 (ETM+)",2010,3,3,0.12702172837453,0.127526286805959
2010-03-08,0.126148638316308,"Landsat7 (ETM+)",2010,3,8,0.126148638316308,0.126377100295741
2010-03-13,0.125382150212924,"Landsat7 (ETM+)",2010,3,13,0.125382150212924,0.124251942255889
2010-03-18,0.123891244809784,"Landsat7 (ETM+)",2010,3,18,0.123891244809784,0.121991263050159
2010-03-23,0.120370684715454,"Landsat7 (ETM+)",2010,3,23,0.120370684715454,0.121183884584613
2010-03-28,0.114708515012656,"Landsat7 (ETM+)",2010,3,28,0.114708515012656,0.118828318230896
2010-04-02,0.118179374141618,"Landsat7 (ETM+)",2010,4,2,0.118179374141618,0.11528702042818
2010-04-07,0.120048473709176,"Landsat7 (ETM+)",2010,4,7,0.120048473709176,0.11419355876344
2010-04-12,0.108142038661754,"Landsat7 (ETM+)",2010,4,12,0.108142038661754,0.114941478250443
2010-04-17,0.111144300692104,"Landsat7 (ETM+)",2010,4,17,0.111144300692104,0.11617980770962
2010-04-22,0.123220354318619,"Landsat7 (ETM+)",2010,4,22,0.123220354318619,0.117602217788548
2010-04-27,0.121062970658386,"Landsat7 (ETM+)",2010,4,27,0.121062970658386,0.119123183975445
2010-05-02,0.119091164437123,"Landsat7 (ETM+)",2010,5,2,0.119091164437123,0.119128407588119
2010-05-07,0.120466782667791,"Landsat7 (ETM+)",2010,5,7,0.120466782667791,0.118039769720261
2010-05-12,0.113839185796678,"Landsat7 (ETM+)",2010,5,12,0.113839185796678,0.117762873964381
2010-05-17,0.110934915661346,"Landsat7 (ETM+)",2010,5,17,0.110934915661346,0.118052844280379
2010-05-22,0.125417690956965,"Landsat7 (ETM+)",2010,5,22,0.125417690956965,0.11765283620313
2010-05-27,0.12444819859229,"Landsat7 (ETM+)",2010,5,27,0.12444819859229,0.117505970471351
2010-06-01,0.114016860723495,"Landsat7 (ETM+)",2010,6,1,0.114016860723495,0.119307257003732
2010-06-06,0.117509456072114,"Landsat7 (ETM+)",2010,6,6,0.117509456072114,0.122031529757312
2010-06-11,0.126174546509525,"Landsat7 (ETM+)",2010,6,11,0.126174546509525,0.125866378706316
2010-06-16,0.136559554413147,"Landsat7 (ETM+)",2010,6,16,0.136559554413147,0.135118076228809
2010-06-21,0.148529938438464,"Landsat7 (ETM+)",2010,6,21,0.148529938438464,0.148256117352603
2010-06-26,0.161859355940877,"Landsat7 (ETM+)",2010,6,26,0.161859355940877,0.161867701513611
2010-07-01,0.176321464275792,"Landsat7 (ETM+)",2010,7,1,0.176321464275792,0.176321464275792
2010-07-06,0.191689920798612,"Landsat7 (ETM+)",2010,7,6,0.191689920798612,0.191689920798612
2010-07-11,0.207738382864742,"Landsat7 (ETM+)",2010,7,11,0.207738382864742,0.207738382864742
2010-07-16,0.224240507829584,"Landsat7 (ETM+)",2010,7,16,0.224240507829584,0.224240507829584
2010-07-21,0.240969953048544,"Landsat7 (ETM+)",2010,7,21,0.240969953048544,0.240969953048544
2010-07-26,0.257700375877025,"Landsat7 (ETM+)",2010,7,26,0.257700375877025,0.257700375877025
2010-07-31,0.274205433670431,"Landsat7 (ETM+)",2010,7,31,0.274205433670431,0.274205433670431
2010-08-05,0.290258783784166,"Landsat7 (ETM+)",2010,8,5,0.290258783784166,0.290258783784166
2010-08-10,0.305634083573635,"Landsat7 (ETM+)",2010,8,10,0.305634083573635,0.305634083573635
2010-08-15,0.32010499039424,"Landsat7 (ETM+)",2010,8,15,0.32010499039424,0.32010499039424
2010-08-20,0.333445161601387,"Landsat7 (ETM+)",2010,8,20,0.333445161601387,0.333445161601387
2010-08-25,0.345428254550478,"Landsat7 (ETM+)",2010,8,25,0.345428254550478,0.345428254550478
