"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2010-02-01,0.25140243768692,"Landsat7 (ETM+)",2010,2,1,0.25140243768692,0.250313905000029
2010-02-06,0.247416817541913,"Landsat7 (ETM+)",2010,2,6,0.247416817541913,0.24826822824356
2010-02-11,0.243940534438783,"Landsat7 (ETM+)",2010,2,11,0.243940534438783,0.244963128646164
2010-02-16,0.240124693307735,"Landsat7 (ETM+)",2010,2,16,0.240124693307735,0.240398606207839
2010-02-21,0.235120399078975,"Landsat7 (ETM+)",2010,2,21,0.235120399078975,0.234574660928587
2010-02-26,0.228111295946561,"Landsat7 (ETM+)",2010,2,26,0.228111295946561,0.227920208813278
2010-03-03,0.219492815143894,"Landsat7 (ETM+)",2010,3,3,0.219492815143894,0.219777282273881
2010-03-08,0.209571442597263,"Landsat7 (ETM+)",2010,3,8,0.209571442597263,0.210128014469393
2010-03-13,0.198208827387403,"Landsat7 (ETM+)",2010,3,13,0.198208827387403,0.195898120503669
2010-03-18,0.185266618595051,"Landsat7 (ETM+)",2010,3,18,0.185266618595051,0.180777697567249
2010-03-23,0.168998035485856,"Landsat7 (ETM+)",2010,3,23,0.168998035485856,0.17012523216466
2010-03-28,0.14846717424128,"Landsat7 (ETM+)",2010,3,28,0.14846717424128,0.16048979613612
2010-04-02,0.154705888591707,"Landsat7 (ETM+)",2010,4,2,0.154705888591707,0.152484603721839
2010-04-07,0.162485888016818,"Landsat7 (ETM+)",2010,4,7,0.162485888016818,0.150886533997299
2010-04-12,0.145557510026265,"Landsat7 (ETM+)",2010,4,12,0.145557510026265,0.15328593758502
2010-04-17,0.149548021909141,"Landsat7 (ETM+)",2010,4,17,0.149548021909141,0.156090416655424
2010-04-22,0.166088342666626,"Landsat7 (ETM+)",2010,4,22,0.166088342666626,0.15741192881402
2010-04-27,0.160443072309136,"Landsat7 (ETM+)",2010,4,27,0.160443072309136,0.159277184295694
2010-05-02,0.157877731951885,"Landsat7 (ETM+)",2010,5,2,0.157877731951885,0.161177052918016
2010-05-07,0.164186312948004,"Landsat7 (ETM+)",2010,5,7,0.164186312948004,0.160809570003842
2010-05-12,0.158816063776612,"Landsat7 (ETM+)",2010,5,12,0.158816063776612,0.160379216572165
2010-05-17,0.154854531792808,"Landsat7 (ETM+)",2010,5,17,0.154854531792808,0.161003368617717
2010-05-22,0.166146364645101,"Landsat7 (ETM+)",2010,5,22,0.166146364645101,0.159823452915745
2010-05-27,0.164230036411027,"Landsat7 (ETM+)",2010,5,27,0.164230036411027,0.157891804386761
2010-06-01,0.154536306858063,"Landsat7 (ETM+)",2010,6,1,0.154536306858063,0.158774346307203
2010-06-06,0.157397143319291,"Landsat7 (ETM+)",2010,6,6,0.157397143319291,0.162115030395695
2010-06-11,0.167688716430281,"Landsat7 (ETM+)",2010,6,11,0.167688716430281,0.168445792693618
2010-06-16,0.18259044173523,"Landsat7 (ETM+)",2010,6,16,0.18259044173523,0.181763455034781
2010-06-21,0.200823631672498,"Landsat7 (ETM+)",2010,6,21,0.200823631672498,0.200591936165305
2010-06-26,0.221411624785935,"Landsat7 (ETM+)",2010,6,26,0.221411624785935,0.221384167867254
2010-07-01,0.243377759619387,"Landsat7 (ETM+)",2010,7,1,0.243377759619387,0.243377759619387
2010-07-06,0.265745374716705,"Landsat7 (ETM+)",2010,7,6,0.265745374716705,0.265745374716705
2010-07-11,0.287537808621735,"Landsat7 (ETM+)",2010,7,11,0.287537808621735,0.287537808621735
2010-07-16,0.307778399878327,"Landsat7 (ETM+)",2010,7,16,0.307778399878327,0.307767727991212
2010-07-21,0.325490487030329,"Landsat7 (ETM+)",2010,7,21,0.325490487030329,0.325091458548529
2010-07-26,0.33969740862159,"Landsat7 (ETM+)",2010,7,26,0.33969740862159,0.33854910423813
2010-07-31,0.349422503195958,"Landsat7 (ETM+)",2010,7,31,0.349422503195958,0.347963088640751
2010-08-05,0.353806500055548,"Landsat7 (ETM+)",2010,8,5,0.353806500055548,0.353787158635465
2010-08-10,0.355988139274719,"Landsat7 (ETM+)",2010,8,10,0.355988139274719,0.356911826281821
2010-08-15,0.357767952419334,"Landsat7 (ETM+)",2010,8,15,0.357767952419334,0.358426248922117
2010-08-20,0.359175555148622,"Landsat7 (ETM+)",2010,8,20,0.359175555148622,0.35933654750377
2010-08-25,0.360240563121809,"Landsat7 (ETM+)",2010,8,25,0.360240563121809,0.360240563121809
2010-08-30,0.360992591998124,"Landsat7 (ETM+)",2010,8,30,0.360992591998124,0.360992591998124
2010-09-04,0.361461257436795,"Landsat7 (ETM+)",2010,9,4,0.361461257436795,0.361485857579862
2010-09-09,0.36167617509705,"Landsat7 (ETM+)",2010,9,9,0.36167617509705,0.361821756039096
2010-09-14,0.361666960638116,"Landsat7 (ETM+)",2010,9,14,0.361666960638116,0.36190681363394
2010-09-19,0.361463229719222,"Landsat7 (ETM+)",2010,9,19,0.361463229719222,0.361525676097514
2010-09-24,0.360823996425861,"Landsat7 (ETM+)",2010,9,24,0.360823996425861,0.3604365477095
2010-09-29,0.358808889726794,"Landsat7 (ETM+)",2010,9,29,0.358808889726794,0.358452173544834
2010-10-04,0.355652305120092,"Landsat7 (ETM+)",2010,10,4,0.355652305120092,0.355509263261477
2010-10-09,0.351717810872804,"Landsat7 (ETM+)",2010,10,9,0.351717810872804,0.351810479387862
2010-10-14,0.347368975251977,"Landsat7 (ETM+)",2010,10,14,0.347368975251977,0.347656861184668
2010-10-19,0.342969366524661,"Landsat7 (ETM+)",2010,10,19,0.342969366524661,0.343306346850037
2010-10-24,0.33885067097677,"Landsat7 (ETM+)",2010,10,24,0.33885067097677,0.338777822764081
2010-10-29,0.33430232173005,"Landsat7 (ETM+)",2010,10,29,0.33430232173005,0.33400192681303
2010-11-03,0.329095775661989,"Landsat7 (ETM+)",2010,11,3,0.329095775661989,0.328900342990184
2010-11-08,0.323502810340312,"Landsat7 (ETM+)",2010,11,8,0.323502810340312,0.323457326641199
2010-11-13,0.317795203332742,"Landsat7 (ETM+)",2010,11,13,0.317795203332742,0.317795203332742
2010-11-18,0.312244732207004,"Landsat7 (ETM+)",2010,11,18,0.312244732207004,0.312244732207004
2010-11-23,0.307123174530822,"Landsat7 (ETM+)",2010,11,23,0.307123174530822,0.307130975501883
2010-11-28,0.302702307871919,"Landsat7 (ETM+)",2010,11,28,0.302702307871919,0.3029161679929
2010-12-03,0.29925390979802,"Landsat7 (ETM+)",2010,12,3,0.29925390979802,0.301152920479945
2010-12-08,0.297049757876849,"Landsat7 (ETM+)",2010,12,8,0.297049757876849,0.298502289337805
2010-12-13,0.296275818994455,"Landsat7 (ETM+)",2010,12,13,0.296275818994455,0.292802467035515
2010-12-18,0.295051634311676,"Landsat7 (ETM+)",2010,12,18,0.295051634311676,0.28848199516783
2010-12-23,0.27796562887662,"Landsat7 (ETM+)",2010,12,23,0.27796562887662,0.285301698308661
2010-12-28,0.270334278524387,"Landsat7 (ETM+)",2010,12,28,0.270334278524387,0.280680649092319
