"date","median_ndvi","landsat","year","month","day","ndvi_filled","ndvi_sg"
2010-02-01,0.207102075219154,"Landsat7 (ETM+)",2010,2,1,0.207102075219154,0.181786563653933
2010-02-06,0.15807394622243,"Landsat7 (ETM+)",2010,2,6,0.15807394622243,0.171608402173952
2010-02-11,0.135559815011221,"Landsat7 (ETM+)",2010,2,11,0.135559815011221,0.164048309603911
2010-02-16,0.1462654668685,"Landsat7 (ETM+)",2010,2,16,0.1462654668685,0.15910628594381
2010-02-21,0.166768794646487,"Landsat7 (ETM+)",2010,2,21,0.166768794646487,0.156782331193648
2010-02-26,0.176099799987343,"Landsat7 (ETM+)",2010,2,26,0.176099799987343,0.167719604543197
2010-03-03,0.174124644603581,"Landsat7 (ETM+)",2010,3,3,0.174124644603581,0.172880724433283
2010-03-08,0.16758309240039,"Landsat7 (ETM+)",2010,3,8,0.16758309240039,0.169194928951256
2010-03-13,0.158005413081911,"Landsat7 (ETM+)",2010,3,13,0.158005413081911,0.15756041478309
2010-03-18,0.14692187635228,"Landsat7 (ETM+)",2010,3,18,0.14692187635228,0.144434862796777
2010-03-23,0.134325888939202,"Landsat7 (ETM+)",2010,3,23,0.134325888939202,0.134877081908665
2010-03-28,0.118094910576474,"Landsat7 (ETM+)",2010,3,28,0.118094910576474,0.126792580966395
2010-04-02,0.121680187527091,"Landsat7 (ETM+)",2010,4,2,0.121680187527091,0.120814666005327
2010-04-07,0.127354365431529,"Landsat7 (ETM+)",2010,4,7,0.127354365431529,0.120261001540216
2010-04-12,0.117132062732708,"Landsat7 (ETM+)",2010,4,12,0.117132062732708,0.121869204794115
2010-04-17,0.120585466691409,"Landsat7 (ETM+)",2010,4,17,0.120585466691409,0.122682410582547
2010-04-22,0.131383493542671,"Landsat7 (ETM+)",2010,4,22,0.131383493542671,0.123654650986014
2010-04-27,0.12250401826168,"Landsat7 (ETM+)",2010,4,27,0.12250401826168,0.126010028391777
2010-05-02,0.122132439340931,"Landsat7 (ETM+)",2010,5,2,0.122132439340931,0.128346843214404
2010-05-07,0.136790778436989,"Landsat7 (ETM+)",2010,5,7,0.136790778436989,0.129941384272228
2010-05-12,0.132776075508446,"Landsat7 (ETM+)",2010,5,12,0.132776075508446,0.131816510398164
2010-05-17,0.127201272189268,"Landsat7 (ETM+)",2010,5,17,0.127201272189268,0.132740059297425
2010-05-22,0.136717922869139,"Landsat7 (ETM+)",2010,5,22,0.136717922869139,0.130446959999041
2010-05-27,0.132327967599849,"Landsat7 (ETM+)",2010,5,27,0.132327967599849,0.127366037691663
2010-06-01,0.121119230985641,"Landsat7 (ETM+)",2010,6,1,0.121119230985641,0.128896269863874
2010-06-06,0.129674636684026,"Landsat7 (ETM+)",2010,6,6,0.129674636684026,0.133964686990751
2010-06-11,0.14358762747224,"Landsat7 (ETM+)",2010,6,11,0.14358762747224,0.142059908058266
2010-06-16,0.158268934780306,"Landsat7 (ETM+)",2010,6,16,0.158268934780306,0.156270751038311
2010-06-21,0.174254223625597,"Landsat7 (ETM+)",2010,6,21,0.174254223625597,0.174060594533789
2010-06-26,0.191180654952252,"Landsat7 (ETM+)",2010,6,26,0.191180654952252,0.191262337140728
2010-07-01,0.208685389704405,"Landsat7 (ETM+)",2010,7,1,0.208685389704405,0.208685389704405
2010-07-06,0.226405588826194,"Landsat7 (ETM+)",2010,7,6,0.226405588826194,0.226405588826194
2010-07-11,0.243978413261756,"Landsat7 (ETM+)",2010,7,11,0.243978413261756,0.243978413261756
2010-07-16,0.261041023955228,"Landsat7 (ETM+)",2010,7,16,0.261041023955228,0.261038284100926
2010-07-21,0.277230581850745,"Landsat7 (ETM+)",2010,7,21,0.277230581850745,0.277127790674949
2010-07-26,0.292184247892446,"Landsat7 (ETM+)",2010,7,26,0.292184247892446,0.291887339994827
2010-07-31,0.305539183024466,"Landsat7 (ETM+)",2010,7,31,0.305539183024466,0.305159306205898
2010-08-05,0.316962686588259,"Landsat7 (ETM+)",2010,8,5,0.316962686588259,0.316950890692023
2010-08-10,0.327152299534646,"Landsat7 (ETM+)",2010,8,10,0.327152299534646,0.32738511116692
2010-08-15,0.336472367386007,"Landsat7 (ETM+)",2010,8,15,0.336472367386007,0.336639919752653
2010-08-20,0.344834271483321,"Landsat7 (ETM+)",2010,8,20,0.344834271483321,0.344875450045266
2010-08-25,0.352149393167565,"Landsat7 (ETM+)",2010,8,25,0.352149393167565,0.352149393167565
2010-08-30,0.358329113779719,"Landsat7 (ETM+)",2010,8,30,0.358329113779719,0.358329113779719
2010-09-04,0.363284814660763,"Landsat7 (ETM+)",2010,9,4,0.363284814660763,0.363320124918983
2010-09-09,0.366927877151673,"Landsat7 (ETM+)",2010,9,9,0.366927877151673,0.367116002914726
2010-09-14,0.36916968259343,"Landsat7 (ETM+)",2010,9,14,0.36916968259343,0.369417808314253
2010-09-19,0.369921612327012,"Landsat7 (ETM+)",2010,9,19,0.369921612327012,0.369806850080701
2010-09-24,0.368706634852969,"Landsat7 (ETM+)",2010,9,24,0.368706634852969,0.367930511242624
2010-09-29,0.364273044746369,"Landsat7 (ETM+)",2010,9,29,0.364273044746369,0.363644068701659
2010-10-04,0.357349022769085,"Landsat7 (ETM+)",2010,10,4,0.357349022769085,0.357114044165227
2010-10-09,0.348862485210702,"Landsat7 (ETM+)",2010,10,9,0.348862485210702,0.349053184753504
2010-10-14,0.339741348360804,"Landsat7 (ETM+)",2010,10,14,0.339741348360804,0.340348192451451
2010-10-19,0.330913528508973,"Landsat7 (ETM+)",2010,10,19,0.330913528508973,0.331698117016259
2010-10-24,0.323246035308061,"Landsat7 (ETM+)",2010,10,24,0.323246035308061,0.323292096670097
2010-10-29,0.315511470034835,"Landsat7 (ETM+)",2010,10,29,0.315511470034835,0.31505507537431
2010-11-03,0.307122046566562,"Landsat7 (ETM+)",2010,11,3,0.307122046566562,0.306788177014094
2010-11-08,0.2983998645235,"Landsat7 (ETM+)",2010,11,8,0.2983998645235,0.298317147637773
2010-11-13,0.289667023525909,"Landsat7 (ETM+)",2010,11,13,0.289667023525909,0.289667023525909
2010-11-18,0.281245623194048,"Landsat7 (ETM+)",2010,11,18,0.281245623194048,0.281245623194049
2010-11-23,0.273457763148179,"Landsat7 (ETM+)",2010,11,23,0.273457763148179,0.273201566480518
2010-11-28,0.266625543008559,"Landsat7 (ETM+)",2010,11,28,0.266625543008559,0.266342779314704
2010-12-03,0.26107106239545,"Landsat7 (ETM+)",2010,12,3,0.26107106239545,0.263348745645756
2010-12-08,0.257116420929109,"Landsat7 (ETM+)",2010,12,8,0.257116420929109,0.260423620648285
2010-12-13,0.257901881574071,"Landsat7 (ETM+)",2010,12,13,0.257901881574071,0.255115167370745
2010-12-18,0.260284230113029,"Landsat7 (ETM+)",2010,12,18,0.260284230113029,0.250741989638183
